arm,stage,workload,concurrency,rate,repetition,cell_index,measurement_version,attempted,artifact_gate_pass,conservation_pass,unavailable_reason,http_success_rps,attempted_rps,completed_rps,completed_jobs_per_second,send_p50_ms,send_p95_ms,send_p99_ms,scheduled_p99_ms,samples,attempts,errors,error_pct,timeouts,drain_completed_requests,drain_budget_exceeded,stopped_transport_failures,generator_capacity_flag,scheduled_count,scheduler_misses,scheduler_lag_p99_ms,drops,idle_claims,duplicates,lost_acknowledgements,server_cpu_seconds,server_peak_rss_mib,generator_cpu_seconds,generator_peak_rss_mib,db_bytes,wal_bytes,db_bytes_at_measure_end,wal_bytes_at_measure_end,load_average_1m,measurement_valid,observable_load_checks_pass,frozen_artifact_and_load_gates_pass
v1.4.0,3,read,64,0,0,8,2,True,True,True,,11545,11551.4,11545,0,3.892,16.125,24.895,24.895,115514,115514,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,25.336939,31.625,16.769448,237.75,47017984,0,47017984,0,11.48486328125,True,True,True
vanilla,3,lifecycle,1,0,0,9,2,True,True,True,,2582.2,2582.3,2582.2,1291.1,0.343,0.625,0.886,0.887,25824,25824,0,0.0,0,2,False,False,False,,0,0.001,0,0,0,0,16.068263,28.71875,4.4746,83.0,48316416,0,48312320,4144752,10.546875,True,True,True
v1.4.0,3,lifecycle,1,0,0,10,2,True,True,True,,2440.6,2440.7,2440.6,1220.3,0.35,0.708,1.083,1.084,24408,24408,0,0.0,0,2,False,False,False,,0,0.002,0,0,0,0,15.911823000000002,28.765625,4.479259000000001,83.3125,49119232,0,49111040,4140632,9.69287109375,True,True,True
v1.5.0-rc,3,lifecycle,1,0,0,11,2,True,False,True,,2212.1,2212.2,2212.1,1106,0.386,0.79,1.112,1.112,22122,22122,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,15.104872,30.375,4.675763,81.71875,49819648,0,49807360,4161232,9.44482421875,True,True,False
v1.4.0,3,lifecycle,16,0,0,12,2,True,True,True,,2456.9,2458.5,2456.9,1228.1,4.641,18.556,28.735,28.735,24594,24594,0,0.0,0,25,False,False,False,,0,0.003,0,0,0,0,19.245947,29.390625,6.647462,84.796875,49147904,0,49143808,4144752,8.76611328125,True,True,True
v1.5.0-rc,3,lifecycle,16,0,0,13,2,True,False,True,,2862.4,2864,2862.4,1430.9,3.991,15.874,24.463,24.463,28650,28650,0,0.0,0,26,False,False,False,,0,0.004,0,0,0,0,19.620258,31.796875,7.297596,89.296875,50307072,0,50302976,4140632,8.39306640625,True,True,False
vanilla,3,lifecycle,16,0,0,14,2,True,True,True,,2377.9,2379.5,2377.9,1188.5,4.782,18.921,29.538,29.538,23802,23802,0,0.0,0,23,False,False,False,,0,0.004,0,0,0,0,18.913669,29.953125,6.36857,80.421875,48173056,0,48160768,4165352,8.88427734375,True,True,True
v1.5.0-rc,3,lifecycle,64,0,0,15,2,True,False,True,,2659.5,2665.9,2659.5,1328,16.434,71.83,114.118,114.12,26688,26688,0,0.0,0,93,False,False,False,,0,0.004,0,0,0,0,19.255108,35.234375,7.117509,90.0,50192384,0,50192384,4152992,8.52099609375,True,True,False
vanilla,3,lifecycle,64,0,0,16,2,True,True,True,,2471.7,2478.1,2471.7,1234.7,17.878,76.163,116.751,116.751,24822,24822,0,0.0,0,105,False,False,False,,0,0.004,0,0,0,0,19.608488,32.3125,6.774119000000001,90.421875,48263168,0,48250880,4152992,8.85009765625,True,True,True
v1.4.0,3,lifecycle,64,0,0,17,2,True,True,True,,2524,2530.4,2524,1260.6,17.544,74.912,115.855,115.855,25340,25340,0,0.0,0,100,False,False,False,,0,0.004,0,0,0,0,19.409091,32.40625,6.773199,89.921875,49156096,0,49139712,4165352,9.27685546875,True,True,True
vanilla,3,read,1,100,0,18,2,True,True,True,,100,100,100,0,0.634,0.98,1.092,2.173,1000,1000,0,0.0,0,0,False,False,False,1000,0,1.171,0,0,0,0,0.803445,25.03125,0.598517,18.234375,46129152,0,46129152,4152,8.3408203125,True,True,True
v1.4.0,3,read,1,100,0,19,2,True,True,True,,100,100,100,0,0.681,0.983,1.238,2.32,1000,1000,0,0.0,0,0,False,False,False,1000,0,1.267,0,0,0,0,0.8168759999999999,24.921875,0.607695,18.078125,47017984,0,47017984,0,7.99365234375,True,True,True
v1.5.0-rc,3,read,1,100,0,20,2,True,False,True,,100,100,100,0,0.526,0.855,0.964,2.053,1000,1000,0,0.0,0,0,False,False,False,1000,0,1.145,0,0,0,0,0.7932329999999999,27.546875,0.550685,17.296875,47939584,0,47939584,0,7.1142578125,True,True,False
v1.4.0,3,read,1,500,0,21,2,True,True,True,,500,500,500,0,0.359,0.608,0.765,1.038,5000,5000,0,0.0,0,0,False,False,False,5000,0,0.328,0,0,0,0,2.362122,26.78125,1.687691,24.4375,47017984,0,47017984,0,6.5654296875,True,True,True
v1.5.0-rc,3,read,1,500,0,22,2,True,False,True,,500,500,500,0,0.315,0.478,0.581,0.824,5000,5000,0,0.0,0,0,False,False,False,5000,0,0.288,0,0,0,0,2.1092969999999998,28.90625,1.4701019999999998,24.34375,47939584,0,47939584,0,6.09716796875,True,True,False
vanilla,3,read,1,500,0,23,2,True,True,True,,500,500,500,0,0.338,0.585,0.831,1.123,5000,5000,0,0.0,0,0,False,False,False,5000,10,0.352,0,0,0,0,2.265545,26.859375,1.593586,24.78125,46129152,0,46129152,4152,5.71142578125,True,True,True
v1.5.0-rc,3,read,1,1000,0,24,2,True,False,True,,1000,1000,1000,0,0.232,0.441,0.587,0.763,10000,10000,0,0.0,0,0,False,False,False,10000,4,0.23,0,0,0,0,3.3148720000000003,28.828125,2.420252,31.328125,47939584,0,47939584,0,5.87939453125,True,True,False
vanilla,3,read,1,1000,0,25,2,True,True,True,,1000,1000,1000,0,0.215,0.402,0.5,0.656,10000,10000,0,0.0,0,0,False,False,False,10000,1,0.208,0,0,0,0,3.09955,26.84375,2.302459,31.375,46129152,0,46129152,4152,6.0576171875,True,True,True
v1.4.0,3,read,1,1000,0,26,2,True,True,True,,1000,1000,1000,0,0.22,0.416,0.548,0.721,10000,10000,0,0.0,0,0,False,False,False,10000,25,0.234,0,0,0,0,3.0720599999999996,27.234375,2.271615,30.390625,47017984,0,47017984,0,6.2470703125,True,True,True
v1.4.0,3,read,1,0,1,27,2,True,True,True,,5103.9,5104,5103.9,0,0.164,0.364,0.484,0.485,51040,51040,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,13.065117,27.234375,9.038608,112.4375,47017984,0,47017984,0,5.5888671875,True,True,True
v1.5.0-rc,3,read,1,0,1,28,2,True,False,True,,4966,4966.1,4966,0,0.173,0.357,0.48,0.481,49661,49661,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,12.959314,29.5625,8.866443,115.28125,47939584,0,47939584,0,5.8203125,True,True,False
vanilla,3,read,1,0,1,29,2,True,True,True,,5379.4,5379.5,5379.4,0,0.157,0.336,0.477,0.479,53795,53795,0,0.0,0,1,False,False,False,,0,0.001,0,0,0,0,13.015754000000001,27.59375,9.136465000000001,119.21875,46129152,0,46129152,4152,6.548828125,True,True,True
v1.5.0-rc,3,read,16,0,1,30,2,True,False,True,,11560.4,11562,11560.4,0,1.031,3.641,5.507,5.509,115620,115620,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,24.874291,31.40625,16.206546,243.703125,47939584,0,47939584,0,7.23974609375,True,True,False
vanilla,3,read,16,0,1,31,2,True,True,True,,11793,11794.6,11793,0,1.016,3.553,5.372,5.372,117946,117946,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,25.122984000000002,29.796875,16.440371,239.875,46129152,0,46129152,4152,9.2099609375,True,True,True
v1.4.0,3,read,16,0,1,32,2,True,True,True,,11367.1,11368.7,11367.1,0,1.055,3.671,5.493,5.493,113687,113687,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,24.80014,29.453125,16.0879,235.25,47017984,0,47017984,0,9.08203125,True,True,True
vanilla,3,read,64,0,1,33,2,True,True,True,,11171.6,11178,11171.6,0,4.03,16.606,25.467,25.468,111780,111780,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,24.716417,32.0,16.366183,226.515625,46129152,0,46129152,4152,10.26025390625,True,True,True
v1.4.0,3,read,64,0,1,34,2,True,True,True,,11270,11276.4,11270,0,3.963,16.598,25.597,25.598,112764,112764,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,25.032851,32.1875,16.464208,238.765625,47017984,0,47017984,0,10.80615234375,True,True,True
v1.5.0-rc,3,read,64,0,1,35,2,True,False,True,,11134,11140.4,11134,0,4.07,16.634,25.156,25.156,111404,111404,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,24.596370999999998,34.015625,16.203409,220.75,47939584,0,47939584,0,10.87890625,True,True,False
v1.4.0,3,lifecycle,1,0,1,36,2,True,True,True,,2086.2,2086.3,2086.2,1043.1,0.416,0.812,1.148,1.149,20864,20864,0,0.0,0,2,False,False,False,,0,0.002,0,0,0,0,15.388404,28.359375,4.372961,65.5625,48828416,0,48820224,4140632,12.3076171875,True,True,True
v1.5.0-rc,3,lifecycle,1,0,1,37,2,True,False,True,,2213.5,2213.6,2213.5,1106.7,0.395,0.765,1.059,1.06,22136,22136,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,15.163656,30.234375,4.754434,82.859375,49790976,0,49790976,4161232,10.921875,True,True,False
vanilla,3,lifecycle,1,0,1,38,2,True,True,True,,1976.9,1977,1976.9,988.4,0.445,0.86,1.153,1.154,19770,19770,0,0.0,0,1,False,False,False,,0,0.003,0,0,0,0,15.262379,28.4375,4.307807,60.234375,47800320,0,47788032,4144752,10.09716796875,True,True,True
v1.5.0-rc,3,lifecycle,16,0,1,39,2,True,False,True,,2935.6,2937.2,2935.6,1467.3,3.886,15.41,23.988,23.988,29378,29378,0,0.0,0,22,False,False,False,,0,0.003,0,0,0,0,19.474317,31.546875,7.265731,90.015625,50380800,0,50380800,4152992,8.9677734375,True,True,False
vanilla,3,lifecycle,16,0,1,40,2,True,True,True,,2463.6,2465.2,2463.6,1231.4,4.648,18.393,27.849,27.851,24660,24660,0,0.0,0,24,False,False,False,,0,0.004,0,0,0,0,19.233829,30.359375,6.586226,84.890625,48177152,0,48173056,4157112,8.83935546875,True,True,True
v1.4.0,3,lifecycle,16,0,1,41,2,True,True,True,,2490,2491.6,2490,1244.5,4.618,18.12,27.643,27.644,24922,24922,0,0.0,0,22,False,False,False,,0,0.003,0,0,0,0,19.579088,29.625,6.8189530000000005,85.3125,49176576,0,49168384,4152992,8.5908203125,True,True,True
vanilla,3,lifecycle,64,0,1,42,2,True,True,True,,2441.2,2447.6,2441.2,1219,18.212,77.713,118.242,118.243,24508,24508,0,0.0,0,96,False,False,False,,0,0.003,0,0,0,0,19.860012,32.796875,6.910377,88.78125,48193536,0,48193536,4152992,8.73974609375,True,True,True
v1.4.0,3,lifecycle,64,0,1,43,2,True,True,True,,2288.2,2294.6,2288.2,1142.2,19.5,81.168,126.24,126.24,22972,22972,0,0.0,0,90,False,False,False,,0,0.004,0,0,0,0,19.468529,32.75,6.687628999999999,88.734375,48992256,0,48988160,4152992,8.29150390625,True,True,True
v1.5.0-rc,3,lifecycle,64,0,1,44,2,True,False,True,,2649.1,2655.5,2649.1,1322.8,16.991,70.966,107.92,107.921,26584,26584,0,0.0,0,93,False,False,False,,0,0.003,0,0,0,0,19.608980000000003,34.96875,7.194246,88.6875,50077696,0,50069504,4140632,7.78857421875,True,True,False
v1.4.0,3,read,1,100,1,45,2,True,True,True,,100,100,100,0,0.704,1.039,1.229,2.327,1000,1000,0,0.0,0,0,False,False,False,1000,0,1.227,0,0,0,0,0.8472200000000001,25.375,0.6295839999999999,17.640625,47017984,0,47017984,0,8.36279296875,True,True,True
v1.5.0-rc,3,read,1,100,1,46,2,True,False,True,,100,100,100,0,0.601,0.982,1.518,3.538,1000,1000,0,0.0,0,0,False,False,False,1000,0,1.551,0,0,0,0,0.805843,27.578125,0.567059,18.5625,47939584,0,47939584,0,7.53759765625,True,True,False
vanilla,3,read,1,100,1,47,2,True,True,True,,100,100,100,0,0.526,0.839,1.013,2.072,1000,1000,0,0.0,0,0,False,False,False,1000,0,1.181,0,0,0,0,0.67673,25.71875,0.498424,17.40625,46129152,0,46129152,4152,7.0859375,True,True,True
v1.5.0-rc,3,read,1,500,1,48,2,True,False,True,,500,500,500,0,0.4,0.734,1.164,1.677,5000,5000,0,0.0,0,0,False,False,False,5000,24,0.607,0,0,0,0,2.444915,29.75,1.721387,25.0,47939584,0,47939584,0,6.10595703125,True,True,False
vanilla,3,read,1,500,1,49,2,True,True,True,,500,500,500,0,0.383,0.652,0.823,1.093,5000,5000,0,0.0,0,0,False,False,False,5000,0,0.364,0,0,0,0,2.4681309999999996,26.515625,1.7752780000000001,24.15625,46129152,0,46129152,4152,6.1435546875,True,True,True
v1.4.0,3,read,1,500,1,50,2,True,True,True,,500,500,500,0,0.35,0.596,0.741,0.998,5000,5000,0,0.0,0,0,False,False,False,5000,0,0.334,0,0,0,0,2.336274,26.5625,1.641581,24.71875,47017984,0,47017984,0,5.80419921875,True,True,True
vanilla,3,read,1,1000,1,51,2,True,True,True,,1000,1000,1000,0,0.216,0.376,0.466,0.62,10000,10000,0,0.0,0,0,False,False,False,10000,2,0.216,0,0,0,0,3.0890120000000003,27.359375,2.29624,31.859375,46129152,0,46129152,4152,6.060546875,True,True,True
v1.4.0,3,read,1,1000,1,52,2,True,True,True,,1000,1000,1000,0,0.215,0.367,0.462,0.612,10000,10000,0,0.0,0,0,False,False,False,10000,6,0.204,0,0,0,0,3.044601,26.78125,2.23909,30.6875,47017984,0,47017984,0,5.6572265625,True,True,True
v1.5.0-rc,3,read,1,1000,1,53,2,True,False,True,,1000,1000,1000,0,0.221,0.416,0.504,0.659,10000,10000,0,0.0,0,0,False,False,False,10000,2,0.218,0,0,0,0,3.116728,29.125,2.253449,30.125,47939584,0,47939584,0,5.44287109375,True,True,False
v1.5.0-rc,3,read,1,0,2,54,2,True,False,True,,4524.6,4524.7,4524.6,0,0.19,0.394,0.55,0.551,45247,45247,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,12.901855000000001,29.1875,8.76617,114.265625,47939584,0,47939584,0,5.11669921875,True,True,False
vanilla,3,read,1,0,2,55,2,True,True,True,,4836.1,4836.1,4836.1,0,0.178,0.367,0.53,0.532,48362,48362,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,12.997406999999999,28.0,9.007729000000001,117.71875,46129152,0,46129152,4152,7.57421875,True,True,True
v1.4.0,3,read,1,0,2,56,2,True,True,True,,4710,4710.1,4710,0,0.181,0.375,0.529,0.53,47101,47101,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,12.754477999999999,27.796875,8.816834,116.46875,47017984,0,47017984,0,7.79052734375,True,True,True
vanilla,3,read,16,0,2,57,2,True,True,True,,11700.7,11702.3,11700.7,0,1.025,3.574,5.373,5.374,117023,117023,0,0.0,0,16,False,False,False,,0,0.001,0,0,0,0,25.053978,29.265625,16.475721999999998,234.875,46129152,0,46129152,4152,7.46044921875,True,True,True
v1.4.0,3,read,16,0,2,58,2,True,True,True,,11719.1,11720.6,11719.1,0,1.02,3.578,5.406,5.407,117207,117207,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,25.121069,28.546875,16.456618,239.59375,47017984,0,47017984,0,7.48681640625,True,True,True
v1.5.0-rc,3,read,16,0,2,59,2,True,False,True,,11290.5,11292.1,11290.5,0,1.058,3.697,5.651,5.652,112921,112921,0,0.0,0,16,False,False,False,,0,0.002,0,0,0,0,24.849105,30.703125,16.16058,238.21875,47939584,0,47939584,0,7.81982421875,True,True,False
v1.4.0,3,read,64,0,2,60,2,True,True,True,,11882,11888.4,11882,0,3.782,15.68,24,24.001,118884,118884,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,25.010771,32.140625,16.574724,229.0625,47017984,0,47017984,0,8.154296875,True,True,True
v1.5.0-rc,3,read,64,0,2,61,2,True,False,True,,10982.8,10989.2,10982.8,0,4.072,16.894,26.194,26.195,109892,109892,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,24.484842,34.0625,16.299538,229.578125,47939584,0,47939584,0,7.990234375,True,True,False
vanilla,3,read,64,0,2,62,2,True,True,True,,11539.6,11546,11539.6,0,3.912,16.054,24.649,24.65,115460,115460,0,0.0,0,64,False,False,False,,0,0.002,0,0,0,0,25.007576999999998,31.578125,16.48148,237.453125,46129152,0,46129152,4152,7.880859375,True,True,True
v1.5.0-rc,3,lifecycle,1,0,2,63,2,True,False,True,,2316.5,2316.6,2316.5,1158.2,0.37,0.751,1.062,1.064,23166,23166,0,0.0,0,1,False,False,False,,0,0.002,0,0,0,0,15.191602,30.578125,4.723069000000001,81.375,49815552,0,49807360,4161232,7.580078125,True,True,False
vanilla,3,lifecycle,1,0,2,64,2,True,True,True,,2074.4,2074.5,2074.4,1037.2,0.425,0.81,1.11,1.111,20746,20746,0,0.0,0,2,False,False,False,,0,0.002,0,0,0,0,15.251596,28.6875,4.265703,61.53125,47845376,0,47837184,4144752,7.03564453125,True,True,True
v1.4.0,3,lifecycle,1,0,2,65,2,True,True,True,,1994.4,1994.5,1994.4,997.2,0.444,0.817,1.103,1.105,19946,19946,0,0.0,0,2,False,False,False,,0,0.002,0,0,0,0,15.211218,28.71875,4.323285,62.25,48742400,0,48738304,4140632,7.48974609375,True,True,True
vanilla,3,lifecycle,16,0,2,66,2,True,True,True,,2546.8,2548.4,2546.8,1272.9,4.534,17.713,26.83,26.83,25490,25490,0,0.0,0,22,False,False,False,,0,0.003,0,0,0,0,19.230907,29.84375,6.638657,85.15625,48316416,0,48300032,4152992,6.70361328125,True,True,True
v1.4.0,3,lifecycle,16,0,2,67,2,True,True,True,,2560.8,2562.4,2560.8,1279.8,4.437,17.798,26.774,26.776,25628,25628,0,0.0,0,20,False,False,False,,0,0.004,0,0,0,0,19.464571,30.078125,6.733805,86.515625,49201152,0,49201152,4152992,6.6572265625,True,True,True
v1.5.0-rc,3,lifecycle,16,0,2,68,2,True,False,True,,2745.6,2747.2,2745.6,1372.3,4.199,16.268,24.753,24.754,27478,27478,0,0.0,0,22,False,False,False,,0,0.004,0,0,0,0,19.574084999999997,31.71875,7.303274999999999,89.59375,50221056,0,50204672,4144752,7.3564453125,True,True,False
v1.4.0,3,lifecycle,64,0,2,69,2,True,True,True,,2319.5,2325.9,2319.5,1158.1,19.123,81.163,129.156,129.157,23290,23290,0,0.0,0,95,False,False,False,,0,0.004,0,0,0,0,19.016995,32.0,6.553458,88.578125,48979968,0,48975872,4144752,7.48583984375,True,True,True
v1.5.0-rc,3,lifecycle,64,0,2,70,2,True,False,True,,2741.7,2748.1,2741.7,1368.9,16.129,68.947,106.279,106.279,27506,27506,0,0.0,0,89,False,False,False,,0,0.003,0,0,0,0,19.637457,35.390625,7.317964,93.84375,50221056,0,50216960,4140632,7.70361328125,True,True,False
vanilla,3,lifecycle,64,0,2,71,2,True,True,True,,2489.2,2495.6,2489.2,1243.3,17.837,76.329,116.044,116.045,24994,24994,0,0.0,0,102,False,False,False,,0,0.003,0,0,0,0,19.55978,32.234375,6.7315380000000005,89.84375,48238592,0,48238592,4152992,8.6865234375,True,True,True
