row_id,kind,business_id,disposition,recognized_krw,source_id
P-B14,payment,PAY14,active,6400,BANK-0925
P-B15,payment,PAY15,active,6500,BANK-0925
P-B16,payment,PAY16,superseded,0,BANK-0925
P-R16,payment,PAY16,reversed,0,BANK-REVERSAL-0926
P-B17,payment,PAY17,superseded,0,BANK-0925
P-R17,payment,PAY17,reversed,0,BANK-REVERSAL-0926
P-B18,payment,PAY18,superseded,0,BANK-0925
P-R18,payment,PAY18,reversed,0,BANK-REVERSAL-0926
P-Z19,payment,PAY19,active,0,BANK-0925
P-Z20,payment,PAY20,active,0,BANK-0925
